Date,Total_Trips,Total_Population,Per_Capita_Trips,Log_Total_Trips,Log_Population,Time_Index,Trips_YoY_Growth,Population_YoY_Growth,Month,Quarter
2024-03-01,57977662.92,15016706.0,3860.8775399877977,17.875568372263178,16.52467387265896,92,7.948428212742131,1.408975541974966,3,1
2024-04-01,51939329.019999996,15016706.0,3458.769787462044,17.765586845748086,16.52467387265896,93,19.194134021513555,1.408975541974966,4,2
2024-05-01,56671662.52,15016706.0,3773.9077078555047,17.852784864578023,16.52467387265896,94,8.828521584381566,1.408975541974966,5,2
2024-06-01,50143428.980000004,15016706.0,3339.1763133672594,17.730398036469342,16.52467387265896,95,0.5013418937892089,1.408975541974966,6,2
2024-07-01,53266919.93,15016706.0,3547.1773856397003,17.790826057247823,16.52467387265896,96,8.779010351104088,1.408975541974966,7,3
2024-08-01,57840490.37,15016706.0,3851.7428768999007,17.873199613821722,16.52467387265896,97,6.001199265848944,1.408975541974966,8,3
2024-09-01,54776176.099999994,15016706.0,3647.6825277128014,17.818765914689507,16.52467387265896,98,5.303762390444611,1.408975541974966,9,3
2024-10-01,58435204.58,15016706.0,3891.3463831548675,17.883429084327265,16.52467387265896,99,8.929033807792619,1.408975541974966,10,4
2024-11-01,55570780.47,15016706.0,3700.597219523376,17.833168089965827,16.52467387265896,100,3.062505558054851,1.408975541974966,11,4
2024-12-01,51613239.0,15016706.0,3437.054637681526,17.75928876731084,16.52467387265896,101,5.741716017045362,1.408975541974966,12,4
2025-01-01,48414981.05,15232336.0,3178.4344206955516,17.69531984962007,16.538931094593522,102,1.4491561563591882,1.435934085677637,1,1
2025-02-01,53597791.83,15232336.0,3518.6849758303647,17.79701842799091,16.538931094593522,103,-2.959441745498037,1.435934085677637,2,1
2025-03-01,60657353.650000006,15232336.0,3982.1438845624207,17.920751433325165,16.538931094593522,104,4.621936440759189,1.435934085677637,3,1
2025-04-01,54264281.07,15232336.0,3562.4398693673775,17.80937676127177,16.538931094593522,105,4.476284337644687,1.435934085677637,4,2
2025-05-01,56617109.49,15232336.0,3716.9026136240695,17.851821785302846,16.538931094593522,106,-0.09626156631764582,1.435934085677637,5,2
2025-06-01,53972421.8,15232336.0,3543.2793630602687,17.803983766665695,16.538931094593522,107,7.636080934008738,1.435934085677637,6,2
2025-07-01,54071412.739999995,15232336.0,3549.7780996952793,17.805816188999103,16.538931094593522,108,1.5103047276944226,1.435934085677637,7,3
2025-08-01,55622396.25,15232336.0,3651.5998760794146,17.834096488366338,16.538931094593522,109,-3.834846671961223,1.435934085677637,8,3
2025-09-01,57603964.36,15232336.0,3781.6894506528743,17.869101948992185,16.538931094593522,110,5.162441888673586,1.435934085677637,9,3
2025-10-01,59593242.449999996,15232336.0,3912.28518396653,17.903052743895977,16.538931094593522,111,1.9817469252025877,1.435934085677637,10,4
2025-11-01,57471411.65,15232336.0,3772.987390115344,17.866798193432643,16.538931094593522,112,3.420198823779441,1.435934085677637,11,4
2025-12-01,53301684.730000004,15232336.0,3499.2456002808763,17.791478497079314,16.538931094593522,113,3.271342319748638,1.435934085677637,12,4
