Year_Month,Card_type,Travel_Mode,Trip
Feb-2017,Child/Youth Single Bus Trip 2,Bus,26163.0
Feb-2017,Child/Youth Single Bus Trip 3,Bus,7942.0
Feb-2017,Concession,Bus,1240006.0
Feb-2017,Employee,Bus,69228.0
Feb-2017,Free Travel,Bus,33326.0
Feb-2017,School Student,Bus,2600682.0
Feb-2017,Senior/Pensioner,Bus,3857972.0
Feb-2017,Adult,Ferry,865014.0
Feb-2017,Child/Youth,Ferry,57121.0
Feb-2017,Concession,Ferry,23803.0
Feb-2017,Employee,Ferry,4826.0
Feb-2017,Free Travel,Ferry,1897.0
Feb-2017,School Student,Ferry,1914.0
Feb-2017,Senior/Pensioner,Ferry,169864.0
Feb-2017,Sgl Trip Ferry Adult,Ferry,56176.0
Feb-2017,Sgl Trip Ferry Child/Youth,Ferry,5700.0
Feb-2017,Adult,Light Rail,545607.0
Feb-2017,Child/Youth,Light Rail,32626.0
Feb-2017,Concession,Light Rail,28344.0
Feb-2017,Free Travel,Light Rail,697.0
Feb-2017,School Student,Light Rail,6101.0
Feb-2017,Senior/Pensioner,Light Rail,124005.0
Feb-2017,Sgl Trip LR Adult,Light Rail,2500.0
Feb-2017,Sgl Trip LR Child/Youth,Light Rail,428.0
Feb-2017,Adult,Train,21960594.0
Feb-2017,Child/Youth,Train,977309.0
Feb-2017,Concession,Train,1527275.0
Feb-2017,Employee,Train,287362.0
Feb-2017,Free Travel,Train,30092.0
Feb-2017,School Student,Train,1028738.0
Feb-2017,Senior/Pensioner,Train,2620981.0
Feb-2017,Sgl Trip Rail Adult,Train,288914.0
Feb-2017,Sgl Trip Rail Child/Youth,Train,45771.0
Mar-2017,Adult,Bus,15239178.0
Mar-2017,Adult Single Bus Trip 1,Bus,177223.0
Mar-2017,Adult Single Bus Trip 2,Bus,109926.0
Mar-2017,Adult Single Bus Trip 3,Bus,42288.0
Mar-2017,Child/Youth,Bus,1229286.0
Mar-2017,Child/Youth Single Bus Trip 1,Bus,43347.0
Mar-2017,Child/Youth Single Bus Trip 2,Bus,26923.0
Mar-2017,Child/Youth Single Bus Trip 3,Bus,8514.0
Mar-2017,Concession,Bus,2375998.0
Mar-2017,Employee,Bus,78376.0
Mar-2017,Free Travel,Bus,38557.0
Mar-2017,School Student,Bus,3137115.0
Mar-2017,Senior/Pensioner,Bus,4304384.0
Mar-2017,Adult,Ferry,882559.0
